Name,Borough,Latitude,Longitude,Type,Year_Established
Forest Hill Cemetery,Lewisham,51.4428,-0.0383,Municipal,1886
Ladywell and Brockley Cemetery,Lewisham,51.4528,-0.0257,Municipal,1858
Croydon Crematorium,Croydon,51.3807,-0.125,Crematorium,1937
St Peter’s Churchyard,Woolwich,51.4931,0.0597,Churchyard,18th century
St Mary’s Churchyard,Lambeth,51.4871,-0.121,Churchyard,12th century
St Mary Magdalene Churchyard,Paddington,51.5203,-0.1761,Churchyard,19th century
St Sepulchre's Churchyard,City of London,51.5178,-0.102,Churchyard,12th century
St Olave’s Churchyard,City of London,51.5112,-0.08,Churchyard,15th century
St Botolph’s Churchyard,Aldgate,51.5136,-0.0752,Churchyard,13th century
St George’s Gardens,King’s Cross,51.5254,-0.118,Former cemetery park,1713
West Ham Cemetery,Newham,51.5362,0.0233,Municipal,1857
New Southgate Cemetery,Barnet,51.6154,-0.1401,Private,1861
Brockley and Ladywell Cemeteries,Lewisham,51.4538,-0.0262,Municipal,1858
St Pancras New Church Crypt,Camden,51.5242,-0.1281,Crypt,1822
St John's Wood Church Grounds,Westminster,51.5295,-0.1665,Churchyard,1814
St Marylebone Parish Church Crypt,Westminster,51.5225,-0.1536,Crypt,1817
St Giles-in-the-Fields Churchyard,Camden,51.5153,-0.129,Churchyard,17th century
St Clement Danes Churchyard,Westminster,51.5129,-0.1134,Churchyard,17th century
St Andrew Holborn Churchyard,City of London,51.5175,-0.1072,Churchyard,12th century
Beckenham Cemetery,Bromley,51.3975,-0.0275,Municipal,1876
Crystal Palace District Cemetery,Bromley,51.4082,-0.0619,Private,1880
